ASIN,Group_int,TF_IDF 
1587152827,0,
0921991053,0,"  (0, 391)	1.0"
B00008RV0I,1,"  (0, 451)	0.680927300022336
  (0, 202)	0.7323510169886376"
0316893595,0,
0673575918,0,"  (0, 447)	0.4827726575075762
  (0, 762)	0.5256886374369507
  (0, 765)	0.45434725582782975
  (0, 484)	0.4434633904352261
  (0, 359)	0.29578845497782613"
0140188444,0,"  (0, 822)	0.4122731024888926
  (0, 791)	0.3440674427187472
  (0, 885)	0.4038804942413305
  (0, 765)	0.34278634394671886
  (0, 881)	0.33567483447118507
  (0, 126)	0.33243957472857183
  (0, 577)	0.34153469834595795
  (0, 150)	0.3019717488159268"
0814731279,0,"  (0, 822)	0.41749107885527714
  (0, 796)	0.33158548008647565
  (0, 193)	0.3921555615665362
  (0, 126)	0.33664712994794577
  (0, 378)	0.5564788288105255
  (0, 643)	0.37278184905919143"
B00004T0BR,1,"  (0, 239)	1.0"
0684850028,0,"  (0, 477)	0.5759303857386906
  (0, 844)	0.5954886012546072
  (0, 333)	0.5600870615883876"
B00003ZKSP,1,
0192100351,0,"  (0, 563)	0.6577220986483239
  (0, 150)	0.568252274999839
  (0, 876)	0.49446030468294633"
1885593295,0,"  (0, 19)	0.44726645883543237
  (0, 363)	0.49116906589007775
  (0, 243)	0.425954955588394
  (0, 420)	0.4174973344304775
  (0, 24)	0.4505152772843738"
0809224321,0,"  (0, 580)	0.696534917128145
  (0, 343)	0.7175228980466672"
1565122291,0,"  (0, 876)	0.5743182561223498
  (0, 692)	0.8186321155956336"
1575846578,0,"  (0, 644)	0.6026714911098083
  (0, 616)	0.625051472987766
  (0, 744)	0.49608238218999906"
B00004UEEA,3,"  (0, 474)	0.7181495676694887
  (0, 544)	0.6958887831084265"
1567993788,0,"  (0, 55)	0.4855399885262269
  (0, 215)	0.43063374466166293
  (0, 448)	0.40403726268668433
  (0, 265)	0.4270123132001168
  (0, 184)	0.4829284338665117"
0520066669,0,"  (0, 158)	0.6663721677859262
  (0, 252)	0.3988877873752992
  (0, 700)	0.6299497337749446"
B00006JMS0,2,
0892967161,0,
B00008RV0Q,1,
0881923311,0,"  (0, 767)	1.0"
6305301999,2,"  (0, 571)	1.0"
B000000KSN,1,"  (0, 728)	1.0"
0448417367,0,"  (0, 301)	0.6229352000849218
  (0, 444)	0.5647293064604907
  (0, 245)	0.5413248072274276"
1882810317,0,"  (0, 116)	1.0"
0595272819,0,"  (0, 89)	0.7897790829800572
  (0, 449)	0.6133913922506411"
B000000KST,1,"  (0, 402)	0.7711061094136727
  (0, 728)	0.6367066577513614"
0028018281,0,"  (0, 263)	0.5664698033031291
  (0, 35)	0.579100154784224
  (0, 786)	0.5863062106737417"
0375402454,0,"  (0, 714)	1.0"
0819880337,0,"  (0, 511)	0.5718517200097825
  (0, 611)	0.5789675797118795
  (0, 252)	0.33153039425781056
  (0, 390)	0.4773570462952048"
087779121X,0,"  (0, 696)	0.6260498660679232
  (0, 225)	0.6320428280016659
  (0, 252)	0.45670934823801435"
0072508337,0,"  (0, 84)	0.7434928505431466
  (0, 482)	0.6687438831056522"
0075706830,0,"  (0, 447)	0.5794717891665909
  (0, 427)	0.5433614990687193
  (0, 717)	0.6074296065305544"
0439176859,0,"  (0, 709)	0.8673862455932302
  (0, 100)	0.4976355101433984"
1841760560,0,
B00005HYH8,1,
B000002WVK,1,"  (0, 268)	0.6511876618789334
  (0, 854)	0.7589167470919639"
0590442929,0,"  (0, 344)	1.0"
B00005HYH4,1,
0020160224,0,"  (0, 799)	0.537349838506091
  (0, 126)	0.42310891520060806
  (0, 10)	0.537349838506091
  (0, 359)	0.284024811188182
  (0, 339)	0.4035084319097164"
B00005HYH2,1,"  (0, 206)	1.0"
B00005HYH5,1,
6305306141,3,
0312262531,0,"  (0, 533)	0.7142890126485235
  (0, 532)	0.6998508458304508"
0918825148,0,"  (0, 137)	0.7007605502598436
  (0, 851)	0.7133965595652402"
0072226234,0,"  (0, 542)	0.7933959349219523
  (0, 362)	0.6087059145838173"
B00005HYHA,1,"  (0, 201)	0.688421263926474
  (0, 521)	0.7253110804157593"
0582297966,0,"  (0, 781)	0.7720781487069254
  (0, 265)	0.6355276015164779"
B00005HYHC,1,
0886778506,0,"  (0, 606)	1.0"
0940232537,0,
1931153221,0,"  (0, 580)	1.0"
0862419956,0,"  (0, 668)	0.41894375809272566
  (0, 755)	0.3077498498745842
  (0, 385)	0.3319166019480227
  (0, 411)	0.36784021363355573
  (0, 200)	0.41894375809272566
  (0, 606)	0.32436024728280993
  (0, 369)	0.33398086980690633
  (0, 150)	0.30337178541092624"
0517708752,0,"  (0, 462)	0.7071067811865476
  (0, 382)	0.7071067811865476"
B000026H15,1,"  (0, 341)	0.8413689765612944
  (0, 703)	0.5404611413230371"
0300030991,0,"  (0, 471)	0.7583458085264982
  (0, 876)	0.6518524638983054"
B00005Q6L8,1,
0028622189,0,"  (0, 853)	0.7462119628553417
  (0, 53)	0.6657084245310241"
088419745X,0,"  (0, 197)	0.817550297207236
  (0, 87)	0.5758571971733617"
B000000GP0,1,"  (0, 788)	0.5318242329858134
  (0, 180)	0.510288906259484
  (0, 379)	0.41882326961309513
  (0, 353)	0.40534222248050894
  (0, 841)	0.3421300467113478"
0262061570,0,"  (0, 619)	0.7475308338279992
  (0, 112)	0.6642271091098406"
B00004UEEE,2,"  (0, 11)	0.8381730416098141
  (0, 841)	0.5454043933803182"
0023233001,0,"  (0, 519)	0.7933405133000229
  (0, 100)	0.6087781451044842"
0141312270,0,
0465098290,0,"  (0, 261)	1.0"
6303049079,3,
0816520526,0,"  (0, 809)	0.6265100292083892
  (0, 770)	0.6215529608899851
  (0, 803)	0.470273431218686"
1580171575,0,"  (0, 754)	0.5848499439281983
  (0, 356)	0.2771351725848221
  (0, 865)	0.5325737745654532
  (0, 85)	0.20065515200495254
  (0, 184)	0.5071975195350815"
0374525811,0,"  (0, 446)	0.7534408038371148
  (0, 602)	0.6575157451447702"
0195158202,0,"  (0, 268)	0.3868580549538547
  (0, 879)	0.43402760319582717
  (0, 214)	0.47994678731525703
  (0, 400)	0.4740479526953511
  (0, 315)	0.45485217914451653"
0030339588,0,"  (0, 792)	0.5769676053250476
  (0, 124)	0.5281740606018401
  (0, 64)	0.6230092648691862"
0316082775,0,"  (0, 637)	0.5037270085130338
  (0, 157)	0.3984356036970427
  (0, 43)	0.43773401429457454
  (0, 519)	0.38885583548553904
  (0, 458)	0.49465972399163827"
B00002544A,1,
B00002544D,1,
0345440390,0,"  (0, 769)	0.730086422865197
  (0, 521)	0.6833548237540295"
0201618354,0,"  (0, 826)	0.44307975604121586
  (0, 588)	0.4199127859518046
  (0, 4)	0.43763403940472007
  (0, 11)	0.4326624896268301
  (0, 765)	0.3597391925078645
  (0, 252)	0.2537178442376689
  (0, 359)	0.23419685842054197"
6303647073,3,"  (0, 596)	0.5895355751178378
  (0, 749)	0.5587109823686074
  (0, 7)	0.4768998496851671
  (0, 703)	0.3359410323575417"
0020418000,0,"  (0, 134)	0.5153866176973242
  (0, 666)	0.5532430963716364
  (0, 40)	0.49078474908363673
  (0, 868)	0.432930757376452"
0195096320,0,"  (0, 494)	0.6832424868132646
  (0, 311)	0.7301915530963269"
B000031KJ8,1,"  (0, 284)	1.0"
0896584593,0,"  (0, 586)	0.5072682409977077
  (0, 622)	0.4801064961082025
  (0, 785)	0.4065114416372804
  (0, 58)	0.3552911599812317
  (0, 28)	0.46978007995972637"
1573228311,0,"  (0, 369)	0.7346774889214219
  (0, 549)	0.6784165293329121"
0440918057,0,"  (0, 434)	0.562618704924016
  (0, 429)	0.5350957585711149
  (0, 201)	0.488921579556127
  (0, 101)	0.39760333383054985"
0262522756,0,"  (0, 644)	0.3920319752924618
  (0, 699)	0.7906438194330004
  (0, 397)	0.34042506148878116
  (0, 764)	0.32450586843853446"
B000005P68,1,"  (0, 199)	1.0"
0435083341,0,"  (0, 492)	0.41836605827392054
  (0, 493)	0.4249081505318184
  (0, 642)	0.3999172835343275
  (0, 344)	0.3745794054686257
  (0, 437)	0.3650939024297931
  (0, 101)	0.3183779369793516
  (0, 135)	0.3309399822907835"
0425168727,0,"  (0, 425)	0.6912561986851236
  (0, 467)	0.7226097617520766"
B00000JNTN,2,"  (0, 148)	1.0"
B00000JNTB,3,
0875522696,0,"  (0, 583)	1.0"
B00000JNTX,2,"  (0, 745)	0.6290948072792316
  (0, 847)	0.6001584120608013
  (0, 744)	0.49401376892447457"
0136298419,0,"  (0, 559)	0.6142629700809101
  (0, 215)	0.48645755023493725
  (0, 517)	0.6213212175733277"
1859842186,0,"  (0, 647)	0.5755678368338963
  (0, 270)	0.6453513886856491
  (0, 845)	0.5022382406028572"
B00002SWRG,1,"  (0, 199)	0.7737662210350073
  (0, 845)	0.63347125837342"
1581802587,0,"  (0, 216)	0.5386471392161551
  (0, 607)	0.5204231738410853
  (0, 173)	0.5152755935435658
  (0, 215)	0.41654536636691775"
0688123627,0,"  (0, 402)	0.8243529914357335
  (0, 378)	0.5660760951594384"
0687194938,0,"  (0, 398)	0.7463608082373833
  (0, 87)	0.6655415418493725"
B00000JNTT,2,
B00000JNTV,3,
0781720311,0,"  (0, 362)	0.5012209419540761
  (0, 430)	0.604403141863428
  (0, 152)	0.6192531061305108"
0195139550,0,"  (0, 109)	0.9184801241548145
  (0, 7)	0.3954671434298389"
0813011604,0,
0195131762,0,"  (0, 178)	0.4201390766931952
  (0, 426)	0.4243362474121322
  (0, 395)	0.3945404984075227
  (0, 112)	0.37331940263511576
  (0, 539)	0.37889464345164725
  (0, 871)	0.3682441385632165
  (0, 543)	0.2631110557874122"
630302663X,3,"  (0, 650)	1.0"
0762700823,0,"  (0, 703)	1.0"
0760301352,0,"  (0, 740)	0.7931833458905744
  (0, 38)	0.6089829060013372"
0939443031,0,"  (0, 859)	0.7927111563690896
  (0, 339)	0.6095974266415344"
0316817805,0,"  (0, 84)	0.6733501617791875
  (0, 100)	0.41285898515870956
  (0, 170)	0.4773315875688877
  (0, 359)	0.3850994332826624"
087477893X,0,"  (0, 75)	0.5524667518819838
  (0, 593)	0.5761861907220817
  (0, 117)	0.6023204808788652"
6303481310,3,"  (0, 676)	0.607879086009476
  (0, 310)	0.57333063707106
  (0, 733)	0.5493405113297003"
0553268147,0,"  (0, 581)	0.4694705467853446
  (0, 701)	0.8829481330752501"
6305276854,3,"  (0, 164)	0.849005643688813
  (0, 876)	0.5283837781239542"
0801840368,0,"  (0, 248)	0.4680217086853249
  (0, 465)	0.4633924387997074
  (0, 84)	0.4476936916764055
  (0, 604)	0.451264181007163
  (0, 221)	0.4026836540457218"
0312182953,0,
1550462733,0,"  (0, 586)	0.5151964225105204
  (0, 512)	0.4463710522698826
  (0, 267)	0.455162113206937
  (0, 855)	0.48761016209592506
  (0, 703)	0.3006481505840676"
0345439988,0,"  (0, 509)	0.4907746265189032
  (0, 144)	0.4907746265189032
  (0, 554)	0.40342124229506365
  (0, 503)	0.40967740047662754
  (0, 643)	0.43323926499600945"
1564967425,0,"  (0, 395)	1.0"
032110028X,0,"  (0, 7)	1.0"
0375823611,0,"  (0, 97)	0.5380064545828404
  (0, 242)	0.5304362935573494
  (0, 233)	0.5114272513285335
  (0, 101)	0.4094246693872811"
0201180952,0,"  (0, 723)	0.7336977491147202
  (0, 621)	0.6794759840818461"
0226118711,0,
0312241763,0,"  (0, 469)	0.5518349347504288
  (0, 291)	0.4541068366754926
  (0, 200)	0.5641389783990102
  (0, 471)	0.4135364539245466"
0374175403,0,"  (0, 38)	1.0"
2060000793,0,"  (0, 506)	0.68011185670709
  (0, 355)	0.6363827605472697
  (0, 359)	0.36395720139141524"
B0000005PE,1,"  (0, 95)	1.0"
B00000DDNK,1,"  (0, 528)	0.9462040736329358
  (0, 58)	0.3235704730664368"
1895629551,0,"  (0, 759)	1.0"
0761530134,0,"  (0, 538)	0.7603230054769426
  (0, 87)	0.6495451695937005"
B0000296J4,1,"  (0, 145)	0.7385295984717716
  (0, 89)	0.6742210558719774"
0252069250,0,"  (0, 466)	1.0"
B0000005PW,1,
B00000DDNT,1,"  (0, 526)	1.0"
0517703734,0,"  (0, 382)	0.7392959010112289
  (0, 87)	0.6733807026845924"
0781714273,0,"  (0, 750)	1.0"
1889392146,0,"  (0, 684)	0.38019300479104223
  (0, 19)	0.35051794731889585
  (0, 320)	0.3647977293044917
  (0, 6)	0.33749487478094703
  (0, 68)	0.6250442709013511
  (0, 698)	0.30810701601811064"
0766126439,0,"  (0, 654)	1.0"
6304963173,3,
0226041395,0,"  (0, 638)	0.3363208657584091
  (0, 195)	0.3666699306395079
  (0, 326)	0.354264443570965
  (0, 722)	0.33887735040643
  (0, 747)	0.34444653845379863
  (0, 825)	0.3580491387808504
  (0, 196)	0.2869311733305376
  (0, 703)	0.20894324317728086
  (0, 868)	0.2869311733305376
  (0, 378)	0.23862397964490834"
0688163173,0,"  (0, 401)	0.8053224279987595
  (0, 549)	0.5928370661169753"
B000005CAK,1,
0375806512,0,"  (0, 761)	0.6499984146117
  (0, 869)	0.6415664541339982
  (0, 100)	0.40730154177489303"
0440429838,0,"  (0, 107)	0.8003204472085073
  (0, 352)	0.5995724991858572"
188712344X,0,
0688179738,0,"  (0, 838)	0.7198769325971143
  (0, 338)	0.694101723030976"
0201710595,0,"  (0, 21)	0.6588840001612873
  (0, 748)	0.6507859195961588
  (0, 252)	0.3772924080694476"
156414206X,0,"  (0, 867)	0.5587511508471241
  (0, 720)	0.6429887477970323
  (0, 252)	0.3848905631340345
  (0, 359)	0.35527718199144803"
0310229952,0,"  (0, 409)	1.0"
156329818X,0,"  (0, 280)	0.5433232440913119
  (0, 9)	0.5124437883120905
  (0, 397)	0.44498591732357023
  (0, 152)	0.4941545807074411"
0324066694,0,"  (0, 173)	0.7426174807010968
  (0, 52)	0.6697158183566787"
B000000H60,1,"  (0, 194)	1.0"
0811211355,0,"  (0, 45)	0.5884978463473466
  (0, 219)	0.5958208427869173
  (0, 75)	0.5465050851961235"
0072553936,0,"  (0, 486)	0.6222644787094886
  (0, 760)	0.5802872087751725
  (0, 53)	0.5254081022103939"
0809123703,0,"  (0, 268)	0.4414266370155558
  (0, 739)	0.5238840736219488
  (0, 855)	0.5061359989770126
  (0, 150)	0.3916955439643083
  (0, 841)	0.3479783799555015"
094223748X,0,"  (0, 635)	1.0"
1561708445,0,"  (0, 177)	0.7111345101996206
  (0, 573)	0.7030559781433807"
0743504836,0,"  (0, 327)	0.6199981783776327
  (0, 380)	0.666820520268563
  (0, 543)	0.4134642095238476"
1587611325,0,"  (0, 567)	0.5537030154119004
  (0, 641)	0.526616218874129
  (0, 714)	0.4765082261175251
  (0, 133)	0.4347737793207105"
1572318643,0,"  (0, 507)	0.4926474155987149
  (0, 72)	0.429313419295085
  (0, 651)	0.45150377012651605
  (0, 839)	0.45691192962162713
  (0, 448)	0.40045517358132965"
3822855650,0,"  (0, 755)	0.7864447362631117
  (0, 703)	0.6176606485798205"
B000063DGK,1,"  (0, 454)	0.5971784381738859
  (0, 647)	0.48852062365610477
  (0, 210)	0.5364606178014121
  (0, 252)	0.3419583582703839"
B000063DGI,1,"  (0, 454)	0.8677961329799506
  (0, 252)	0.49692038757233925"
0801022770,0,"  (0, 339)	0.7699396680114131
  (0, 876)	0.6381166880927617"
B000063DGC,1,
B00005QCUN,1,"  (0, 228)	1.0"
B000063DGF,1,"  (0, 99)	0.7931833458905744
  (0, 150)	0.6089829060013372"
0781807328,0,"  (0, 392)	0.6206716384339067
  (0, 225)	0.275520554839606
  (0, 265)	0.5332103600341355
  (0, 135)	0.5045214099093445"
B00005QCUK,1,"  (0, 706)	1.0"
B000063DGE,1,"  (0, 454)	0.7236619135216201
  (0, 460)	0.5519038669090249
  (0, 252)	0.414385758212191"
1842401785,0,"  (0, 90)	0.491097928188007
  (0, 591)	0.5535961313380737
  (0, 870)	0.46836406559286864
  (0, 415)	0.48268960042483244"
155868767X,0,"  (0, 313)	0.783815600267064
  (0, 196)	0.6209936431059357"
0865733430,0,"  (0, 82)	0.6520677351000839
  (0, 382)	0.5163965409834962
  (0, 245)	0.5551056487748321"
0486204154,0,"  (0, 334)	0.6917493059784545
  (0, 755)	0.5246683049857823
  (0, 85)	0.49619156323104935"
0781725445,0,"  (0, 276)	0.46822405305242965
  (0, 552)	0.463274773362009
  (0, 386)	0.39859941345166694
  (0, 262)	0.46822405305242965
  (0, 580)	0.4336213374001301"
047138738X,0,"  (0, 695)	0.5183008418050417
  (0, 285)	0.5183008418050417
  (0, 774)	0.5183008418050417
  (0, 714)	0.4405595443893544"
B000063DG8,1,"  (0, 766)	1.0"
157062383X,0,"  (0, 728)	1.0"
B000063DG0,1,"  (0, 150)	1.0"
B000063DG3,1,
0671891065,0,"  (0, 805)	0.2501990699164398
  (0, 773)	0.49269376703520595
  (0, 608)	0.4256711958086473
  (0, 420)	0.45658459279699065
  (0, 568)	0.4736840866983963
  (0, 359)	0.2839211264163962"
B00005QCU0,2,"  (0, 76)	0.8042434847188948
  (0, 385)	0.33497582491279043
  (0, 95)	0.35154181936136614
  (0, 89)	0.34263969888398105"
0374528152,0,"  (0, 348)	0.3317767535350871
  (0, 829)	0.318975759388482
  (0, 436)	0.33979263830954415
  (0, 323)	0.32087988458555705
  (0, 372)	0.32493849458992485
  (0, 133)	0.28053243376939485
  (0, 85)	0.24820086772768968
  (0, 101)	0.5049663864416434
  (0, 135)	0.2624452695622507"
0811833224,0,"  (0, 164)	0.767660154505759
  (0, 141)	0.640857150372994"
0312020309,0,"  (0, 78)	0.7594726650688263
  (0, 798)	0.6505392155844675"
0486290840,0,"  (0, 212)	1.0"
B000006MTC,1,
B000000HPE,1,
158609131X,0,"  (0, 385)	0.47042123854188
  (0, 765)	0.48807923433832695
  (0, 89)	0.4811839527959459
  (0, 359)	0.3177485959910825
  (0, 459)	0.4560486297027993"
B00005YP9Z,1,"  (0, 512)	1.0"
B0000064QY,1,
0375813543,0,"  (0, 30)	1.0"
0553380958,0,"  (0, 70)	0.864914485407844
  (0, 100)	0.5019192494133737"
B00005YP9I,1,
9144016956,0,"  (0, 657)	1.0"
B000002HEA,1,
0892816295,0,"  (0, 134)	0.451950798697489
  (0, 617)	0.4016279461121871
  (0, 597)	0.4253694250864573
  (0, 221)	0.4032963543931233
  (0, 135)	0.3520021659505736
  (0, 830)	0.40858640011550285"
0879757051,0,"  (0, 513)	0.733371206389268
  (0, 703)	0.42310455749119175
  (0, 352)	0.5321176628052602"
0859531821,0,"  (0, 76)	0.5646429578428395
  (0, 650)	0.4917067520973386
  (0, 89)	0.48112069722231865
  (0, 459)	0.4559886783733625"
0471636819,0,"  (0, 624)	0.6642657446239888
  (0, 542)	0.7474965020113055"
9625930698,0,
0870334255,0,"  (0, 448)	1.0"
0553564927,0,"  (0, 847)	0.5554232002287289
  (0, 818)	0.5822027052932611
  (0, 744)	0.45719047334670976
  (0, 841)	0.3788429089713797"
0141303964,0,"  (0, 6)	1.0"
B000002BMZ,1,"  (0, 639)	1.0"
0786707135,0,"  (0, 480)	0.5895816601018679
  (0, 550)	0.5169353263454463
  (0, 100)	0.3340965445738531
  (0, 712)	0.5230208727684432"
0804110387,0,"  (0, 237)	0.419967484410632
  (0, 772)	0.43362033300655467
  (0, 623)	0.3970129873185233
  (0, 369)	0.6913619939955568"
0815173830,0,"  (0, 733)	1.0"
0439201543,0,"  (0, 590)	0.5064505376011055
  (0, 100)	0.7043185638389469
  (0, 89)	0.49743664279523553"
B00004RFID,2,"  (0, 380)	1.0"
B00000K5AS,1,
1930674147,0,"  (0, 507)	0.5636093551684677
  (0, 635)	0.5568199973952764
  (0, 7)	0.5107892508961068
  (0, 359)	0.33375189353216017"
1575040433,0,
0486202712,0,"  (0, 332)	0.5971233538712937
  (0, 360)	0.5430859875255031
  (0, 82)	0.5903399956084179"
B00005OMHG,1,"  (0, 731)	0.5576927637546846
  (0, 854)	0.5869321857146964
  (0, 371)	0.5869321857146964"
0345361199,0,"  (0, 777)	1.0"
B00005J79J,1,"  (0, 683)	0.6859580688248845
  (0, 7)	0.5549000157412498
  (0, 85)	0.47068832611867023"
0684859246,0,"  (0, 784)	0.4689642826688908
  (0, 650)	0.40480079860126184
  (0, 444)	0.42913629241234214
  (0, 343)	0.4609774813833962
  (0, 100)	0.28040812581542945
  (0, 459)	0.37539566087172743"
0814619940,0,"  (0, 795)	1.0"
0060669357,0,"  (0, 661)	0.5691374458090435
  (0, 252)	0.39204506636988207
  (0, 448)	0.49675037095196845
  (0, 265)	0.5249974311099769"
0821758551,0,"  (0, 530)	1.0"
1879206226,0,"  (0, 698)	1.0"
0446676780,0,"  (0, 759)	0.4723215082256911
  (0, 768)	0.5159581160475274
  (0, 369)	0.4395843835853843
  (0, 113)	0.44386236300722787
  (0, 449)	0.34706107209768133"
0786311355,0,"  (0, 419)	0.8384951421011078
  (0, 449)	0.5449090719311278"
0345423593,0,"  (0, 108)	0.5556655240669379
  (0, 388)	0.5842464876871504
  (0, 187)	0.5915165821755496"
0061065838,0,"  (0, 121)	0.48511121772095084
  (0, 1)	0.24411329709054733
  (0, 489)	0.49490635384419707
  (0, 30)	0.4499223898304667
  (0, 352)	0.38949394621054345
  (0, 543)	0.3255884127915192"
0486285782,0,"  (0, 56)	0.5794255675493258
  (0, 499)	0.5586792222293252
  (0, 703)	0.3417420502132358
  (0, 236)	0.4851349394090597"
0874776384,0,"  (0, 394)	0.5775915492839822
  (0, 414)	0.5940548850829218
  (0, 872)	0.5598989156132078"
B000000XJG,1,"  (0, 465)	0.7104025877023672
  (0, 340)	0.7037955408964882"
0316084603,0,"  (0, 637)	0.4822795357182364
  (0, 157)	0.3814711832344661
  (0, 43)	0.4190963629392226
  (0, 519)	0.37229929829033626
  (0, 252)	0.2886906539602581
  (0, 458)	0.4735983141531819"
0375812482,0,"  (0, 645)	0.34365276246638404
  (0, 233)	0.3730490726190904
  (0, 750)	0.6973438577706875
  (0, 89)	0.34246620521562643
  (0, 643)	0.3730490726190904"
B0000014CY,1,"  (0, 832)	0.6638643147196278
  (0, 457)	0.7478530414739508"
0486404277,0,"  (0, 253)	0.5723872365978404
  (0, 802)	0.5996153041828431
  (0, 236)	0.5593159557616827"
0135980046,0,"  (0, 762)	0.6036204489135868
  (0, 484)	0.5092055482050579
  (0, 359)	0.3396382330949385
  (0, 113)	0.5108795689305794"
B00004R99J,2,"  (0, 148)	0.5659682169768491
  (0, 157)	0.5350119811754368
  (0, 341)	0.6272496770591279"
1930665121,0,"  (0, 617)	0.48087340409858115
  (0, 609)	0.4573786741091511
  (0, 228)	0.5505009190325799
  (0, 775)	0.5064723643448698"
0486272737,0,"  (0, 295)	0.509081812339788
  (0, 253)	0.42668590386793354
  (0, 802)	0.4469830591594076
  (0, 236)	0.41694192126021834
  (0, 602)	0.4302794753477986"
0821772155,0,"  (0, 300)	1.0"
1573920363,0,"  (0, 513)	0.6657296069243204
  (0, 703)	0.38408002426671434
  (0, 876)	0.41947645010755286
  (0, 352)	0.48303843866594687"
0590442856,0,"  (0, 233)	0.6060035413221914
  (0, 650)	0.5685635980445249
  (0, 89)	0.5563228764697953"
0152393390,0,"  (0, 671)	1.0"
0028612779,0,"  (0, 567)	0.6165192734533657
  (0, 389)	0.5863595458433883
  (0, 170)	0.40894407855768317
  (0, 359)	0.32992606606856184"
0306804336,0,"  (0, 509)	0.8028436811264693
  (0, 565)	0.5961895870235406"
0671722948,0,"  (0, 544)	1.0"
0590257552,0,"  (0, 756)	0.7807027121304347
  (0, 89)	0.6249026126303071"
0323012507,0,"  (0, 269)	0.576825821524567
  (0, 551)	0.576825821524567
  (0, 765)	0.48472818340888746
  (0, 359)	0.31556699994476123"
0962556505,0,"  (0, 327)	0.4988811276168643
  (0, 792)	0.5022126063330307
  (0, 41)	0.45257364882859374
  (0, 455)	0.5422888630000461"
0395883164,0,"  (0, 877)	0.46062818033192304
  (0, 269)	0.4450438183294327
  (0, 766)	0.4062007738631467
  (0, 566)	0.46062818033192304
  (0, 657)	0.39153735609069856
  (0, 359)	0.24347235743190293"
0843138254,0,
1568000715,0,"  (0, 392)	0.4058714761429149
  (0, 740)	0.4235961979624131
  (0, 862)	0.41707430516347194
  (0, 144)	0.4491217684963278
  (0, 101)	0.3173949086426646
  (0, 319)	0.4235961979624131"
0761515992,0,"  (0, 359)	1.0"
1578515556,0,"  (0, 660)	0.7353460162008664
  (0, 113)	0.677691844762437"
0834217260,0,"  (0, 362)	0.5376114890677813
  (0, 120)	0.6025591905553301
  (0, 367)	0.5898273549943476"
B00005YUOO,2,"  (0, 571)	1.0"
0553282069,0,"  (0, 40)	0.7521954975738554
  (0, 426)	0.4096169766321513
  (0, 680)	0.41399301672728683
  (0, 549)	0.3082623038670086"
0879500026,0,"  (0, 54)	0.6737869226419025
  (0, 225)	0.5405913626986866
  (0, 519)	0.5037580385982264"
0972393617,0,"  (0, 365)	0.6241391382466567
  (0, 532)	0.4721842245455531
  (0, 359)	0.3340037845170752
  (0, 823)	0.5252940758539988"
0465004318,0,"  (0, 88)	0.6331499918965567
  (0, 58)	0.4648400480015227
  (0, 603)	0.61890614598284"
B00005KA70,2,
1585744603,0,"  (0, 362)	1.0"
067978330X,0,"  (0, 519)	0.5868730671802806
  (0, 448)	0.5766162709258074
  (0, 150)	0.5684132995646969"
0159007763,0,"  (0, 430)	1.0"
B000002N2V,1,
0312286252,0,
B00000J2R7,1,"  (0, 815)	0.7013204669782988
  (0, 403)	0.7128461282754793"
B00006JOCF,1,"  (0, 5)	1.0"
B00000039B,1,"  (0, 31)	1.0"
B000060MV1,2,"  (0, 435)	0.5217556033706002
  (0, 619)	0.4991169703466681
  (0, 650)	0.4268211249121735
  (0, 30)	0.4319336330951305
  (0, 841)	0.33152738075955707"
0743214285,0,"  (0, 684)	0.8463189179832709
  (0, 449)	0.5326765332390997"
0786709804,0,"  (0, 156)	0.6195798878453368
  (0, 334)	0.625396340324932
  (0, 755)	0.4743418388522582"
0471839655,0,"  (0, 319)	1.0"
B0000013H5,1,"  (0, 729)	0.3186069075899722
  (0, 590)	0.28513188048824767
  (0, 525)	0.3085390272212561
  (0, 531)	0.2614442567752021
  (0, 728)	0.5475859503567151
  (0, 309)	0.5948021901588352"
0671009753,0,"  (0, 601)	0.6967415421518697
  (0, 135)	0.5797865307564354
  (0, 359)	0.422372823691643"
0824507223,0,"  (0, 642)	0.5986395955591337
  (0, 126)	0.26880556180279336
  (0, 143)	0.5699876261145821
  (0, 841)	0.21691794297915787
  (0, 378)	0.4443364903568416"
B00006DXXT,2,"  (0, 735)	0.4899965113707286
  (0, 473)	0.5693764158026686
  (0, 49)	0.5113818892786434
  (0, 471)	0.41737570519859846"
0761514244,0,"  (0, 767)	0.44392120281737374
  (0, 696)	0.39964015949395787
  (0, 479)	0.4181161681670908
  (0, 147)	0.5091327020145998
  (0, 487)	0.4573668880290765"
0310481619,0,"  (0, 791)	0.7084244229746395
  (0, 554)	0.7057866794811652"
0471316415,0,"  (0, 858)	0.5664181166957235
  (0, 264)	0.5087249113210506
  (0, 556)	0.559983571827866
  (0, 703)	0.32678415041608777"
0967450306,0,"  (0, 727)	1.0"
B000003OPX,1,
047138299X,0,"  (0, 38)	0.41565229768978523
  (0, 868)	0.9095235936605505"
1560446986,0,"  (0, 570)	0.7588113640843371
  (0, 536)	0.6513104587955483"
B00000AF52,1,"  (0, 727)	0.5956120904233153
  (0, 410)	0.6578241152111486
  (0, 449)	0.46099205111177144"
0130871125,0,"  (0, 7)	0.6801371870313226
  (0, 775)	0.7330848564914705"
0440404959,0,"  (0, 89)	1.0"
0684848066,0,"  (0, 304)	0.6501829500463114
  (0, 844)	0.596367671271953
  (0, 471)	0.4707523044348732"
